id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,52,43.021,64.0809,140.3659,35.0433,175.4092,6870.0501,485.313,-3351.5982194096982,-5977.6572775013565,374.79326120874276,-4320.075751345402,5320.013407337678,374.79326120874276,3.1499,129.0781,5
1,STARLINK-5368,satellite,0,52,43.02,64.0537,158.9422,34.0456,192.9879,6869.6425,486.7946,-1912.3152449213371,-6508.114770751321,-1052.541964574785,-5343.978201565099,4177.846867278303,-1052.541964574785,-8.8744,141.9822,2
2,STARLINK-4659,satellite,0,52,43.01,64.1219,111.4892,36.1155,147.6047,6867.517,485.2122,-4946.495126243004,-4038.8587771041184,2507.1930047112323,-1929.7274026518294,6087.392414391517,2507.1930047112323,21.5575,107.5888,5
3,STARLINK-5387,satellite,0,52,42.9943,64.1759,83.3366,40.2282,123.5647,6861.3663,485.1159,-5412.665026190845,-1591.8840979400516,3895.918521773956,516.6681682371974,5618.192918630899,3895.918521773956,34.7937,84.7457,4
4,STARLINK-5304,satellite,0,52,42.9811,64.2708,85.7017,8.0863,93.788,6861.1888,489.2065,-4706.157824152352,1764.980352788798,4664.88746597696,3376.29351154642,3723.40156784766,4664.88746597696,43.0428,47.799,5
5,STARLINK-5082,satellite,0,52,42.9945,63.9634,81.0493,156.0241,237.0735,6863.7945,494.7857,2149.2320176349363,-5203.529413359887,-3929.961479687291,-5629.365074952598,-78.5205338275506,-3929.961479687291,-35.0848,-179.2009,8
6,STARLINK-5360,satellite,0,52,43.0195,64.0517,159.1578,36.328,195.4858,6869.4512,487.2817,-1689.714081493183,-6534.934954356362,-1250.4715877350595,-5451.008280555675,3980.831227291406,-1250.4715877350595,-10.5598,143.8596,5
7,STARLINK-5432,satellite,0,48,42.9835,52.937,76.1869,29.5228,105.7097,6871.4916,498.9377,-4980.140341063446,1431.0439624971516,4507.497274908038,3166.9513815154437,4101.231959595129,4507.497274908038,41.1966,52.3249,4
8,STARLINK-5087,satellite,0,48,43.0056,52.708,153.9347,65.4219,219.3566,6866.4952,491.5079,-683.3980472425682,-6152.342444265474,-2969.598690115639,-5466.5428090835685,2904.3519344153433,-2969.598690115639,-25.7679,152.0185,16
9,STARLINK-5084,satellite,0,48,42.9882,52.6412,80.7084,164.0971,244.8055,6862.7523,496.1065,1838.7628221824375,-5080.962810942112,-4236.251180869624,-5400.9309119218915,164.8547453476768,-4236.251180869624,-38.2696,178.2517,9
10,STARLINK-5418,satellite,0,48,42.9814,52.5289,98.3857,180.0019,278.3876,6861.381,497.9742,4553.443896246284,-2228.344675313852,-4631.146071843777,-3750.6656023486676,-3410.554038220277,-4631.146071843777,-42.5907,-137.7191,4
