id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,26,42.982,63.9712,92.6487,185.8497,278.4984,6861.3492,497.9345,4909.416431362248,-1268.285661330945,-4629.8483447237,-3451.436060522601,-3714.6342128655856,-4629.8483447237,-42.5763,-132.8966,4
1,STARLINK-5368,satellite,0,26,42.9897,63.9119,102.1039,193.9805,296.0844,6862.8702,495.975,5378.859511733346,727.7503829285054,-4204.8958611737135,-1919.180487769617,-5077.252851905374,-4204.8958611737135,-37.9374,-110.7064,2
2,STARLINK-4659,satellite,0,26,42.9858,64.061,79.7109,171.0063,250.7172,6862.1098,497.1071,3271.6653753064375,-4112.888794073903,-4418.9702016749725,-5174.16675557903,-920.677438551894,-4418.9702016749725,-40.2343,-169.9105,8
3,STARLINK-5387,satellite,0,26,43.0009,64.1264,101.3527,125.4091,226.7618,6862.8301,490.9368,1238.5308471758233,-5826.445774118352,-3410.2785870051907,-5713.958936761007,1682.8851081273194,-3410.2785870051907,-29.9462,163.5892,15
4,STARLINK-5304,satellite,0,26,43.0176,64.1853,159.7707,37.248,197.0187,6869.3389,487.4235,-1535.9962564520465,-6548.741328495624,-1370.7168953681837,-5029.128557434724,4466.896399086939,-1370.7168953681837,-11.5882,138.3884,4
5,STARLINK-5082,satellite,0,26,43.0181,63.8121,14.5235,325.6511,340.1746,6869.0746,487.744,4377.471237140138,5043.744443589201,-1588.3707112582833,2353.424380915904,-6250.040490071785,-1588.3707112582833,-13.4591,-69.3664,6
6,STARLINK-5360,satellite,0,26,42.9914,63.9061,99.0139,199.5642,298.5781,6863.1827,495.6772,5405.496222777385,1009.8023285922282,-4111.516198264343,-1683.7749098540205,-5234.882253712775,-4111.516198264343,-36.9562,-107.8301,2
7,STARLINK-5432,satellite,0,44,43.0113,52.8716,169.4504,39.23,208.6804,6877.6344,499.0699,-1717.0554224035068,-6265.022505461327,-2250.675858678734,-4693.434652943095,4491.15324567033,-2250.675858678734,-19.2202,136.2617,8
8,STARLINK-5087,satellite,0,44,43.0068,52.545,21.095,301.36,322.455,6866.7708,491.1086,5739.10115874242,2460.661671828862,-2853.675151268379,-566.398539533416,-6218.62771581485,-2853.675151268379,-24.6957,-95.2042,4
9,STARLINK-5084,satellite,0,44,43.0193,52.5007,23.0884,324.8099,347.8983,6869.6892,486.8386,4920.695408619612,4684.506706890287,-981.8402258610297,1778.9886332326773,-6556.908252685799,-981.8402258610297,-8.274,-74.8202,5
10,STARLINK-5418,satellite,0,44,43.0152,52.4515,57.5669,323.9171,21.484,6868.9415,485.0937,2434.4490652125537,6182.21172522783,1714.4244512722028,4279.260553229398,-5082.7367809314665,1714.4244512722028,14.5552,-49.9053,6
11,STARLINK-5427,satellite,0,44,42.9823,52.729,83.806,177.3248,261.1307,6869.4626,506.0787,3312.362921457345,-3852.6101067172403,-4630.79174902682,-4964.60207431011,-1080.314306848252,-4630.79174902682,-42.5246,-167.7236,7
12,STARLINK-5416,satellite,0,44,42.9967,52.5995,103.3716,197.3152,300.6868,6872.9038,504.7247,5566.659451876212,160.8447984044021,-4032.2105484799217,-2507.159191345931,-4972.697586982959,-4032.2105484799217,-36.0759,-116.7566,4
13,STARLINK-5078,satellite,0,44,43.0159,52.8683,169.2291,39.843,209.0721,6868.0502,489.3068,-1677.462738402251,-6255.934823993931,-2275.693872617125,-4704.279861969115,4452.005474059955,-2275.693872617125,-19.4712,136.5782,8
14,STARLINK-5407,satellite,0,44,43.0202,52.471,41.4129,325.1726,6.5855,6870.0536,485.3139,3696.9114695560356,5757.569586813206,537.0210663346311,3305.0828626964458,-5991.092490643225,537.0210663346311,4.5157,-61.116,8
15,STARLINK-5409,satellite,0,44,42.9831,52.7334,83.3873,173.6166,257.0039,6875.635,511.229,2965.965285814875,-4200.84870917432,-4570.449372064487,-5106.079215047729,-609.9467220077775,-4570.449372064487,-41.807,-173.188,8
16,STARLINK-5406,satellite,0,44,43.0055,52.8415,180.754,37.6148,218.3688,6869.7382,493.8403,-767.9098815993956,-6174.6485427304715,-2907.7890345204482,-5065.551877925762,3613.3300962608337,-2907.7890345204482,-25.1851,144.4992,16
17,STARLINK-5400,satellite,0,44,42.9865,52.3429,103.7664,323.671,67.4374,6866.8759,492.9725,-2061.4531081364817,4916.811107630489,4320.9688612048,5305.4363032509455,-526.2756096486436,4320.9688612048,39.1984,-5.665,18
18,STARLINK-5403,satellite,0,44,42.982,52.6757,93.6753,187.2053,280.8806,6866.568,502.589,4711.855096452461,-1961.6115384665811,-4600.29799526106,-3967.252138280576,-3210.982520836645,-4600.29799526106,-42.2069,-141.0143,4
19,STARLINK-5405,satellite,0,44,42.9905,52.7857,82.3258,158.1656,240.4914,6877.3535,509.0932,1438.295465044596,-5347.320433603075,-4082.57649960037,-5387.591726704802,1279.2126682998446,-4082.57649960037,-36.5708,166.6432,13
20,STARLINK-5359,satellite,0,44,42.9896,53.1971,101.2177,323.8011,65.0188,6876.6953,502.6366,-1909.9190576634603,5053.818130050457,4247.764793682442,5353.8408402484065,-724.7459939461688,4247.764793682442,38.3491,-7.7092,15
21,STARLINK-5411,satellite,0,44,42.9888,52.7762,81.4126,163.5885,245.001,6862.857,495.9866,1869.279917297584,-5063.983540357505,-4242.983822378436,-5343.4456433563,765.3269645846641,-4242.983822378436,-38.3421,171.8491,9
22,STARLINK-5398,satellite,0,44,43.017,52.5139,15.5004,318.991,334.4914,6868.5265,488.989,5485.999943378262,3601.0548681305922,-2016.9715330265792,557.0629306840987,-6538.613953529523,-2016.9715330265792,-17.1858,-85.1304,4
23,STARLINK-5379,satellite,0,44,42.981,52.6693,90.1295,184.168,274.2975,6867.6051,504.2703,4298.8886626862395,-2630.8532505443063,-4672.196129814442,-4359.394648965594,-2529.330119743561,-4672.196129814442,-43.0089,-149.8776,4
24,STARLINK-5401,satellite,0,44,42.9809,52.2795,99.138,346.2784,85.4164,6861.2559,489.5841,-3620.526114945639,3493.160145459002,4660.400375288097,4795.071915151292,1522.3870990499877,4660.400375288097,42.9886,17.6141,15
25,STARLINK-5397,satellite,0,44,42.9866,53.1792,103.6615,327.2,70.8615,6876.9249,503.8423,-2451.861709918412,4650.499406244215,4427.244708874726,5256.958672037821,-56.179111137393036,4427.244708874726,40.2772,-0.6123,17
26,STARLINK-5491,satellite,1,108,43.0205,220.2422,156.6584,28.7465,185.4049,6886.5312,502.3403,4922.4886734522215,4786.788247157331,-442.1660287948909,1868.097340817325,-6607.151336894003,-442.1660287948909,-3.7076,-74.2123,6
27,STARLINK-5655,satellite,0,75,42.993,219.8462,84.4058,220.4758,304.8816,6875.1856,505.1266,-5663.012737060802,648.165238645968,-3846.702745895591,3264.5708353745194,4672.516313243215,-3846.702745895591,-34.1794,55.059,4
28,STARLINK-5653,satellite,0,75,43.0073,220.2961,109.6457,35.2283,144.874,6879.1943,498.0519,6157.628305425363,1429.8743583706985,2697.3295144037556,-1672.1659955450464,-6096.292964732296,2697.3295144037556,23.2367,-105.3385,50
29,STARLINK-5547,satellite,0,94,42.9997,231.2119,43.5877,271.3665,314.9542,6865.5729,492.397,-5808.445079968382,-1555.0732754994256,-3313.5010883190657,1395.9047626805059,5848.738071815774,-3313.5010883190657,-29.0084,76.5765,3
30,STARLINK-5608,satellite,0,94,43.0197,231.1423,23.5771,329.3516,352.9287,6869.9702,486.0571,-4754.738234084905,-4916.828339874004,-576.4931190349604,-2062.2904637591464,6521.479482567211,-576.4931190349604,-4.8478,107.5485,4
31,STARLINK-5665,satellite,1,108,43.0121,219.8718,9.5863,324.7769,334.3632,6883.9952,504.4145,-6156.429559037538,-2306.0918866904794,-2030.784598115346,900.9166278764027,6512.145110089808,-2030.784598115346,-17.2669,82.1235,2
32,STARLINK-5574,satellite,0,75,42.9849,219.5522,74.4865,36.6743,111.1608,6871.5688,498.6056,4895.2432208981845,-2033.9221969592231,4366.942862650879,-4118.109663795241,-3337.8763446223275,4366.942862650879,39.657,-140.974,24
33,STARLINK-5654,satellite,0,75,42.9953,219.4998,86.7641,41.7818,128.5459,6868.991,492.077,5798.075837605538,-309.14726440665703,3660.9785580511757,-3030.650214204595,-4952.616957615128,3660.9785580511757,32.3935,-121.4637,67
34,STARLINK-5635,satellite,1,108,43.0061,220.1898,162.3098,55.7307,218.0404,6880.0474,504.4814,2138.199710430968,5864.059870203447,-2891.2207876951134,4140.385597296165,-4670.792573934324,-2891.2207876951134,-24.9902,-48.4449,12
35,STARLINK-5625,satellite,0,75,42.9971,219.745,86.9208,322.3348,49.2557,6876.9681,499.4482,-1014.0015194496282,-5795.523372238619,3550.5118470520756,-4615.000502660994,3649.3918123502467,3550.5118470520756,31.2675,141.6642,7
36,STARLINK-5586,satellite,0,75,43.0014,219.8999,21.2787,294.2261,315.5048,6872.5441,498.6294,-6019.789213512496,-442.09870573615353,-3284.6907026506397,2475.3819966547017,5505.070154991011,-3284.6907026506397,-28.7044,65.7887,4
37,STARLINK-5689,satellite,0,83,43.002,271.3725,93.4569,136.3458,229.8026,6874.0591,502.7694,-3945.665012251645,4344.072895604882,-3581.554572761576,5698.195950178873,1403.4972834319453,-3581.554572761576,-31.5546,13.8368,4
38,STARLINK-5690,satellite,0,83,42.9985,270.603,96.2291,37.3669,133.5959,6865.4956,486.9165,3583.4822882085537,4768.293947725534,3388.088322900331,2488.9332484099477,-5420.625772618866,3388.088322900331,29.7512,-65.3373,51
39,STARLINK-5694,satellite,0,83,43.0077,270.9841,65.8641,326.357,32.2211,6868.355,486.2911,2774.6338947405798,-5758.07791524999,2495.4639806044183,-6384.707536480333,299.2727878444523,2495.4639806044183,21.4481,177.3163,4
40,STARLINK-5692,satellite,0,83,43.0122,270.6455,120.232,34.0097,154.2418,6868.4372,485.1712,2110.564517954958,6203.811256416509,2034.0457723751128,4452.363549847216,-4808.140545957713,2034.0457723751128,17.3458,-47.2002,4
41,STARLINK-5696,satellite,0,83,42.9929,271.3557,97.223,137.2624,234.4854,6874.8225,504.5484,-4187.144241074816,3896.4136937863427,-3816.5706060410744,5419.352766597002,1828.8882305567904,-3816.5706060410744,-33.879,18.6482,4
