id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,64,42.9812,63.8029,84.7641,5.7114,90.4755,6861.1472,489.3755,-4526.476242116647,2163.586284700137,4675.028552897038,4555.751588512167,2101.2425480076918,4675.028552897038,43.1576,24.7605,11
1,STARLINK-5368,satellite,0,64,42.9858,63.7414,77.8931,30.2056,108.0987,6862.0004,488.9074,-5219.077565532884,199.10775141791845,4444.579009809955,3486.4574949030293,3888.8338442208933,4444.579009809955,40.5737,48.1228,3
2,STARLINK-4659,satellite,0,64,42.9899,63.8903,98.2562,324.3557,62.6119,6863.0222,488.0015,-2611.3380690582703,4793.2764351610995,4152.2740864951265,5356.122757526773,-1051.9194365955361,4152.2740864951265,37.4329,-11.1112,13
3,STARLINK-5387,satellite,0,64,43.0064,63.9492,73.2129,325.5026,38.7155,6864.0832,482.9226,-467.9756983156632,6184.173354951134,2925.3285586656325,5057.503206506732,-3589.5212291440366,2925.3285586656325,25.3909,-35.3649,3
4,STARLINK-5304,satellite,0,64,43.0201,64.0015,43.3686,325.4676,8.8362,6869.8991,484.7798,2279.8071540147694,6432.8526563460355,719.2178666686012,3493.9425679605997,-5862.719444894839,719.2178666686012,6.0531,-59.2068,9
5,STARLINK-5082,satellite,0,64,43.014,63.6303,117.1771,35.0885,152.2656,6868.1677,485.1949,-4789.1106061094215,-4404.031077793961,2178.1994316659807,-330.18989842289176,6497.849241303176,2178.1994316659807,18.6178,92.909,4
6,STARLINK-5360,satellite,0,64,42.9872,63.7351,77.7003,32.9033,110.6036,6862.2404,488.6204,-5278.95354097922,-86.18465787318131,4376.951504708732,3305.17027090209,4117.114009037734,4376.951504708732,39.8352,51.2429,4
7,STARLINK-5432,satellite,0,74,43.0157,52.6904,53.3088,326.8554,20.1642,6878.4994,494.1499,2532.0279860772944,6179.80234915739,1615.8222362715956,3138.139517857918,-5895.1847437877905,1615.8222362715956,13.683,-61.9726,8
8,STARLINK-5087,satellite,0,74,43.0014,52.3677,96.9995,37.5261,134.5256,6865.5469,486.5423,-5769.493976264633,-1625.5432224639778,3335.377053145829,2433.9498191635817,5477.713007090279,3335.377053145829,29.2455,66.0427,5
9,STARLINK-5084,satellite,0,74,43.0163,52.3175,126.3475,33.655,160.0024,6869.0343,484.551,-5299.252537772532,-4054.1090190458585,1600.8015635723036,264.8798537776115,6666.912033352499,1600.8015635723036,13.5729,87.7248,4
10,STARLINK-5418,satellite,0,74,43.0184,52.2686,160.0302,33.5573,193.5875,6869.6461,486.649,-3150.590191110702,-5998.425268601164,-1100.1759049884918,-2603.518106793833,6255.319154360756,-1100.1759049884918,-9.2797,112.5975,3
11,STARLINK-5427,satellite,0,74,42.9848,52.561,100.5967,332.1549,72.7517,6869.8894,496.7381,-2570.9809233496726,4532.408015566494,4470.607440517163,5129.613921440061,-916.3658356615324,4470.607440517163,40.8043,-10.1286,15
12,STARLINK-5416,satellite,0,74,42.9921,52.4291,81.301,31.0513,112.3523,6871.7662,497.935,-5274.754359944886,762.6976710729526,4331.097951678886,3955.689849560329,3571.730548250116,4331.097951678886,39.2738,42.08,5
13,STARLINK-5078,satellite,0,74,43.0202,52.6867,56.056,324.849,20.905,6869.0276,485.0955,2461.9901407264156,6183.408635408395,1670.4947968042563,3185.645286359012,-5843.594947887455,1670.4947968042563,14.1745,-61.4029,6
14,STARLINK-5407,satellite,0,74,43.0207,52.2867,146.8267,31.8668,178.6935,6870.1591,484.965,-4287.64778379017,-5357.870441393422,106.76369825394256,-1384.4213610509237,6721.166318405163,106.76369825394256,0.8969,101.639,4
15,STARLINK-5409,satellite,0,74,42.9865,52.5655,103.8403,324.5466,68.3869,6876.3716,503.035,-2172.581702945,4851.127552250478,4356.429300975478,5120.419511094183,-1426.4830228857,4356.429300975478,39.5125,-15.5672,14
16,STARLINK-5406,satellite,0,74,43.0108,52.6624,64.1527,325.9697,30.1224,6870.7387,488.5996,1598.2661690207235,6248.310224818756,2349.8268537976123,3787.217137266016,-5220.423523796646,2349.8268537976123,20.1341,-54.0406,8
17,STARLINK-5400,satellite,0,74,42.991,52.1719,85.1346,154.1744,239.3091,6867.745,499.5214,1262.7195658966364,-5420.060717157997,-4028.557856752431,-4977.106547803234,2489.9657209671814,-4028.557856752431,-36.0698,153.4219,18
18,STARLINK-5403,satellite,0,74,42.9807,52.5079,82.5763,10.0977,92.6739,6866.116,494.6025,-4174.149675966193,2798.5070627459386,4673.630633222414,4819.29404148858,1424.630562384594,4673.630633222414,43.1007,16.4682,16
19,STARLINK-5405,satellite,0,74,42.9961,52.6139,91.5896,320.2525,51.8421,6878.5774,501.6356,-562.4166119179226,5774.521410528789,3685.7860978665594,4802.598747686842,-3255.2196907019047,3685.7860978665594,32.5886,-34.1296,4
20,STARLINK-5359,satellite,1,100,42.9946,53.0266,82.9453,153.58,236.5253,6877.6623,508.3145,1070.9859798872644,-5555.866109563252,-3913.184607023935,-4959.152920521026,2724.235949288601,-3913.184607023935,-34.8347,151.2185,14
21,STARLINK-5411,satellite,0,74,42.9936,52.6043,96.7174,320.1611,56.8786,6863.9209,488.1024,-1061.981314530998,5529.489050100006,3917.417387309482,4933.105219375047,-2714.318765761221,3917.417387309482,34.9958,-28.8207,4
22,STARLINK-5398,satellite,0,74,43.0123,52.3334,110.4539,36.1255,146.5794,6867.4708,485.447,-5686.185822428389,-2844.3451095566297,2577.6316633879314,1442.8950661058643,6192.0159994667065,2577.6316633879314,22.1935,76.8827,3
23,STARLINK-5379,satellite,0,74,42.981,52.5019,92.9059,353.1179,86.0239,6867.3224,495.7242,-3684.628504864868,3427.0253725602206,4668.27120995575,4990.288371247794,646.5385485980421,4668.27120995575,43.0307,7.3821,20
24,STARLINK-5401,satellite,0,74,42.9826,52.111,84.196,173.2042,257.4001,6861.6254,497.5189,2948.8644012280215,-4192.574215351093,-4568.450519738839,-5109.458535127427,408.5502244158102,-4568.450519738839,-41.8871,175.4284,9
25,STARLINK-5397,satellite,1,100,42.991,53.0102,78.0889,164.2361,242.325,6877.736,510.2254,1637.285848421224,-5234.24614003222,-4154.974936943551,-5073.347924558266,2083.069475620758,-4154.974936943551,-37.3194,157.6774,17
26,STARLINK-5491,satellite,1,99,43.0207,220.0584,25.7718,330.859,356.6308,6886.4181,501.8435,-5446.973701117829,-4193.8093045313335,-275.8578086239489,251.72718607112512,6869.8029380205335,-275.8578086239489,-2.3123,87.9015,2
27,STARLINK-5655,satellite,0,66,42.9879,219.6749,77.7784,38.7232,116.5015,6873.8902,499.7491,5230.64843387825,-1504.3422779214422,4191.99356296613,-4498.2046263153,-3064.12856580309,4191.99356296613,37.7764,-145.7377,4
28,STARLINK-5653,satellite,1,99,43.0015,220.1192,27.1933,289.0959,316.2892,6877.6116,503.759,-6040.908487692848,-545.5175326941844,-3241.1023073209403,3438.355624999917,4996.786500460838,-3241.1023073209403,-28.2664,55.4676,2
29,STARLINK-5547,satellite,0,94,42.9942,231.0367,88.7538,38.2567,127.0105,6864.3491,487.4269,5711.39529433338,691.3016538793058,3735.067191903195,-3115.728198158048,-4836.338695748318,3735.067191903195,33.1563,-122.791,65
30,STARLINK-5608,satellite,0,94,43.0176,230.9585,133.3021,31.7194,165.0215,6869.5078,484.7536,5182.706944039272,4331.927060642078,1209.982891456049,23.3304161119255,-6754.664981936561,1209.982891456049,10.218,-89.8021,13
