id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,26,42.9997,63.9152,55.967,256.8984,312.8655,6865.2886,492.9169,5359.153452868615,2576.6069490851887,-3431.952895527803,-517.2448275599687,-5923.840552363825,-3431.952895527803,-30.1463,-94.9902,4
1,STARLINK-5368,satellite,0,26,43.0123,63.8746,12.4772,317.9704,330.4476,6867.912,489.4193,4852.622365781955,4271.64004570663,-2309.7832057464198,1199.0805775039876,-6352.720541124448,-2309.7832057464198,-19.7743,-79.3111,4
2,STARLINK-4659,satellite,0,26,42.9842,63.9927,101.1201,183.9653,285.0854,6861.741,497.6187,5142.483614062563,-520.5634156926426,-4520.200333559224,-3070.7282682116697,-4157.733985413846,-4520.200333559224,-41.3474,-126.448,4
3,STARLINK-5387,satellite,0,26,42.983,64.0707,79.2263,181.9168,261.1432,6858.8476,495.6636,4000.001988735337,-3119.9574013215442,-4623.9953902926945,-4723.835846081155,-1849.1957698487392,-4623.9953902926945,-42.5274,-158.6216,4
4,STARLINK-5304,satellite,0,26,42.9966,64.1623,93.5875,137.7901,231.3776,6864.6371,494.0938,1663.4107541970952,-5567.241910587927,-3658.2464949270984,-5637.0414619760695,1408.8581845409255,-3658.2464949270984,-32.3557,165.9676,15
5,STARLINK-5082,satellite,0,26,43.0202,63.8098,48.1262,326.4177,14.5439,6869.5447,484.8371,1801.087988509986,6516.5571603953285,1175.7228919067388,4686.485241975023,-4873.016647191437,1175.7228919067388,9.9257,-46.1179,4
6,STARLINK-5360,satellite,0,26,43.014,63.8717,14.3658,318.5746,332.9404,6868.2332,488.929,4742.434923830073,4483.158306207601,-2130.4458929118637,1437.2178637248217,-6365.830834814228,-2130.4458929118637,-18.1851,-77.2776,5
7,STARLINK-5432,satellite,0,78,42.9888,52.8356,70.9023,172.068,242.9703,6872.5741,505.4206,1682.585688267439,-5196.493365143277,-4176.107145847415,-5327.9264266492555,1203.261353386289,-4176.107145847415,-37.5722,167.2738,11
8,STARLINK-5087,satellite,0,78,43.0216,52.5349,30.0013,326.8154,356.8167,6870.076,485.563,4389.748552550697,5269.956414719627,-260.041391305406,2293.864761804134,-6463.785069308752,-260.041391305406,-2.1848,-70.4613,7
9,STARLINK-5084,satellite,0,78,43.0153,52.4981,58.9099,323.3617,22.2716,6868.7976,485.0866,2357.2214308694524,6195.1732238666045,1774.1111272674777,4126.389299113258,-5187.444023797035,1774.1111272674777,15.0736,-51.4993,6
10,STARLINK-5418,satellite,0,78,42.9932,52.4235,94.4158,321.4809,55.8966,6863.9977,487.6909,-947.1016067353212,5581.1862230987845,3872.8655141329923,5283.675421625028,-2032.0962450887712,3872.8655141329923,34.5441,-21.0367,5
11,STARLINK-5427,satellite,0,78,42.9887,52.6622,103.0894,192.3491,295.4385,6870.8678,504.3419,5401.334869802671,-406.44857047215174,-4232.852973577904,-3104.603079122246,-4438.58744842205,-4232.852973577904,-38.1793,-124.9712,3
