id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5372,satellite,0,10,42.9888,64.0381,72.0959,172.0341,244.13,6862.854,496.2897,2751.6756334060915,-4672.096313455452,-4212.673679075278,-5406.640971902638,-410.4097399289338,-4212.673679075278,-38.0179,-175.6591,9
1,STARLINK-5368,satellite,0,10,42.9828,63.9787,82.92,178.7943,261.7143,6861.3298,497.8795,4032.671424165585,-3069.8350585402077,-4632.405663366921,-4533.122456800173,-2266.523084722106,-4632.405663366921,-42.6057,-153.4353,3
2,STARLINK-4659,satellite,0,10,43.0074,64.106,157.9361,58.4182,216.3543,6866.9351,490.8922,262.58450621914034,-6273.80633903188,-2775.926273759081,-5747.126457079219,2529.8486296462497,-2775.926273759081,-23.9815,156.2412,14
3,STARLINK-5387,satellite,0,10,43.0203,64.1447,154.9319,37.4553,192.3873,6867.1769,484.5945,-1954.4444970542445,-6500.939733219543,-1004.3397960689401,-4973.717291130439,4619.979114122518,-1004.3397960689401,-8.4678,137.1116,5
4,STARLINK-5304,satellite,0,10,43.0175,64.1874,127.0948,35.5528,162.6476,6869.3135,484.7518,-4198.973423299297,-5244.6381704523465,1396.2202844146298,-2856.6527078960175,6080.883377849793,1396.2202844146298,11.8115,115.163,5
5,STARLINK-5082,satellite,0,10,42.9964,63.8382,94.8278,210.9854,305.8132,6864.214,494.3053,5426.399829073914,1810.4736868997254,-3796.932970585122,-766.9175246769358,-5668.815360044203,-3796.932970585122,-33.7388,-97.7046,4
6,STARLINK-5360,satellite,0,10,42.9827,63.9719,83.8328,180.3767,264.2095,6861.2309,498.1529,4186.721654078244,-2815.4922041901473,-4657.486831092332,-4372.730559781302,-2516.9151777797083,-4657.486831092332,-42.8888,-150.0756,4
7,STARLINK-5432,satellite,1,99,43.0201,52.8763,141.3078,33.0819,174.3898,6879.6431,494.8516,-4519.856468306029,-5157.268562133862,458.40697111670244,-2636.7817741533045,6330.395200266336,458.40697111670244,3.8482,112.6131,5
8,STARLINK-5087,satellite,0,74,42.9855,52.5914,101.4845,186.6064,288.0909,6862.0118,497.1084,5087.78466646665,-1206.8958711367095,-4450.066325936386,-3326.0482125194103,-4034.792899777687,-4450.066325936386,-40.5754,-129.5002,4
9,STARLINK-5084,satellite,0,74,43.0,52.5187,68.7419,244.7982,313.5402,6865.3731,493.1162,5766.612049751837,1538.3228143494912,-3394.381164658918,-1161.168829380563,-5854.223993251898,-3394.381164658918,-29.7823,-101.2188,4
10,STARLINK-5418,satellite,0,74,43.0186,52.454,21.8461,325.2653,347.1114,6869.695,486.9455,4965.4822512857645,4623.3382514593,-1044.632437208374,1961.0897357917163,-6495.028685341817,-1044.632437208374,-8.807,-73.199,4
11,STARLINK-5427,satellite,1,99,43.0,52.7844,117.1523,109.6735,226.8258,6873.4561,501.1776,75.0830492581188,-5963.00953476327,-3418.8952443996495,-5385.502657829121,2561.148433511623,-3418.8952443996495,-29.98,154.5659,15
12,STARLINK-5416,satellite,0,74,42.9865,52.664,88.081,178.307,266.388,6870.6365,507.4395,3728.3759897813693,-3388.76055871488,-4678.683803076931,-4685.254516655569,-1852.8021372068788,-4678.683803076931,-43.0583,-158.4235,4
13,STARLINK-5078,satellite,0,74,43.025,52.8733,142.7013,32.0052,174.7066,6870.0965,484.9251,-4493.740185723573,-5169.150510747035,432.01270810167057,-2658.9592970099247,6312.1908491733475,432.01270810167057,3.6316,112.8429,5
14,STARLINK-5407,satellite,0,74,43.012,52.4754,14.2326,317.9915,332.2241,6868.2213,489.5295,5555.351237232645,3392.6168063173645,-2182.491170501747,596.3734543406069,-6481.983868113771,-2182.491170501747,-18.6435,-84.7433,5
15,STARLINK-5409,satellite,1,99,43.0026,52.7848,155.3241,67.4155,222.7396,6879.9992,505.7907,-336.6958920188986,-6088.708337850852,-3184.249236697672,-5316.814568878735,2986.170823525627,-3184.249236697672,-27.7191,150.6794,15
16,STARLINK-5406,satellite,0,74,43.0207,52.8523,157.2525,26.7751,184.0276,6873.1894,488.7165,-3855.3675726083948,-5672.817670265839,-329.0585748830602,-3392.451459575825,5961.20730510377,-329.0585748830602,-2.7638,119.6437,4
17,STARLINK-5400,satellite,0,74,43.0087,52.3841,72.1983,320.8448,33.0431,6871.8789,490.1433,1344.2541544226065,6229.399025834522,2553.439855649774,4998.958847880477,-3952.5740843086064,2553.439855649774,21.9586,-38.3327,4
18,STARLINK-5403,satellite,0,74,42.9869,52.7431,70.2196,176.3279,246.5475,6867.6927,501.4939,2014.602013829764,-4968.151430602543,-4297.999544545803,-5347.472402578795,381.6920423367647,-4297.999544545803,-38.8935,175.9173,9
19,STARLINK-5405,satellite,1,99,43.0129,52.8188,171.938,34.2925,206.2305,6882.3786,502.5101,-1957.8119127744824,-6259.560810611117,-2073.96163009131,-4755.570858861346,4516.599919617514,-2073.96163009131,-17.6508,136.4764,9
20,STARLINK-5359,satellite,1,99,43.0119,53.2354,67.1259,323.5749,30.7008,6881.7439,499.5692,1482.0708091236675,6271.936696033645,2394.431499139962,4976.390016499753,-4095.0294511751067,2394.431499139962,20.4987,-39.4507,4
21,STARLINK-5411,satellite,0,74,43.0113,52.8147,170.8479,39.7877,210.6355,6867.8853,489.4441,-1532.1476625762712,-6251.894566682124,-2386.2905004979284,-4936.325889922624,4131.1437691427545,-2386.2905004979284,-20.4575,140.0745,15
22,STARLINK-5398,satellite,0,74,42.9945,52.5465,103.2676,196.8645,300.1321,6863.4906,495.658,5544.197907317204,94.9109220572835,-4049.6186430216035,-2358.7353378346247,-5018.31706099529,-4049.6186430216035,-36.3115,-115.1747,3
23,STARLINK-5379,satellite,0,74,42.9908,52.7342,71.5082,168.467,239.9752,6869.8422,501.8175,1381.534970684045,-5372.16115684591,-4057.365104767568,-5431.0509811076545,1128.0246499773523,-4057.365104767568,-36.354,168.2665,13
24,STARLINK-5401,satellite,0,74,42.9965,52.3388,90.4202,320.5514,50.9717,6864.7501,487.3632,-446.16179573302696,5800.693490868787,3633.9158947371807,5403.3820850602415,-2156.517416073721,3633.9158947371807,32.1505,-21.7572,6
25,STARLINK-5397,satellite,1,99,43.0081,53.2241,74.2754,322.2672,36.5426,6881.7659,500.8376,909.2118402189184,6216.718934015572,2792.3700521679884,5179.34736913536,-3556.4900259627616,2792.3700521679884,24.0951,-34.4761,3
26,STARLINK-5491,satellite,1,105,43.0115,220.247,116.9531,34.1959,151.149,6884.5614,502.1224,6165.996691731058,2039.8732377051115,2263.926889253956,-887.0284867421203,-6433.799693186901,2263.926889253956,19.3288,-97.8499,27
27,STARLINK-5655,satellite,0,29,42.9799,219.9081,85.5357,185.0558,270.5915,6872.301,508.8166,-3282.0640139062734,3813.5175006395393,-4688.086160493962,4869.778976007647,1264.9555896933764,-4688.086160493962,-43.1549,14.5611,4
28,STARLINK-5653,satellite,0,29,42.9856,220.3395,78.4742,32.064,110.5382,6874.3666,501.3366,4884.00250494687,-2027.177036382383,4386.802897065785,-3972.5048645856427,-3490.2911491746318,4386.802897065785,39.8537,-138.6971,26
29,STARLINK-5547,satellite,0,94,42.981,231.266,96.2048,184.3811,280.5859,6861.4137,497.5519,-4640.842365714743,2105.541100241167,-4601.311761456468,3935.6575883148103,3237.48676225211,-4601.311761456468,-42.2565,39.4408,4
30,STARLINK-5608,satellite,0,94,43.0028,231.1556,22.0,296.5674,318.5674,6866.1786,491.7273,-5816.165558904635,-1925.079720464072,-3098.592059637247,835.8588960181366,6069.188878645798,-3098.592059637247,-26.9731,82.1585,4
31,STARLINK-5665,satellite,1,105,42.9897,219.9042,108.1262,191.9916,300.1178,6879.0205,510.8117,-5442.020449356994,1124.9784254666667,-4058.781417749998,3408.6690151948633,4388.86529456483,-4058.781417749998,-36.3135,52.1648,3
32,STARLINK-5574,satellite,0,29,42.9818,219.6201,97.5258,339.2558,76.7816,6870.9033,498.9483,1909.3475685162616,-4768.944655745963,4558.075849911197,-5122.267116328786,388.35660924429453,4558.075849911197,41.7602,175.6643,4
33,STARLINK-5654,satellite,0,29,42.98,219.5594,76.4788,17.6577,94.1364,6865.597,494.1686,3570.7209802091124,-3545.2716450764387,4666.203195612042,-4756.243469969306,-1642.2994277119085,4666.203195612042,43.0192,-160.9505,4
34,STARLINK-5635,satellite,1,105,43.0211,220.2003,151.9324,31.8463,183.7787,6883.443,499.0262,5027.3994716216275,4682.351211303766,-309.2224714110136,1986.7662344297319,-6576.619058679707,-309.2224714110136,-2.5932,-73.1907,6
35,STARLINK-5625,satellite,1,105,43.0174,219.7657,46.6153,328.3287,14.9439,6881.5444,497.0181,-4276.39628909517,-5244.844061885995,1209.4059832759792,-2822.7088876600224,6150.469005727356,1209.4059832759792,10.1946,114.6524,4
36,STARLINK-5586,satellite,0,29,42.9826,219.9532,92.4325,188.7505,281.183,6868.3725,503.9098,-4188.977830449581,2924.9235763690867,-4596.514652982125,4471.950848634071,2470.70208624974,-4596.514652982125,-42.1543,28.9202,4
37,STARLINK-5689,satellite,1,102,43.0224,271.3938,162.3378,33.1744,195.5121,6878.6606,496.4719,-1504.720630837152,6588.853127369875,-1254.2907304023838,6577.456583133837,-1553.780746407967,-1254.2907304023838,-10.578,-13.2912,2
38,STARLINK-5690,satellite,0,89,42.9805,270.6584,80.5713,18.5845,99.1558,6861.4655,489.6328,4940.468728692552,1148.097287686284,4615.907425233722,-1147.265098733856,-4940.662044140319,4615.907425233722,42.4819,-103.0729,113
39,STARLINK-5694,satellite,0,89,43.0191,270.9906,27.1122,330.7288,357.841,6870.8941,486.0609,-70.4509663261967,-6861.554448862318,-176.42523562581914,-6127.885213194162,3087.865866140384,-176.42523562581914,-1.482,153.2563,4
40,STARLINK-5692,satellite,0,89,42.9896,270.6784,84.2829,35.5412,119.8241,6863.3855,488.2485,4311.94082329389,3462.4801435414943,4057.41692969619,1207.188299501488,-5396.693322540593,4057.41692969619,36.4382,-77.3911,87
41,STARLINK-5696,satellite,1,102,43.0146,271.3821,169.7632,30.4357,200.199,6879.7147,497.9826,-1890.7765438494241,6408.375459486022,-1619.3587571847102,6585.636168829173,-1127.700412486785,-1619.3587571847102,-13.7057,-9.7169,2
42,STARLINK-5695,satellite,0,89,42.9875,271.1119,103.1912,193.7267,296.9179,6869.8489,502.2777,-4421.351130748157,-3197.668361976084,-4178.2364286929505,-921.2639325060037,5378.168976632696,-4178.2364286929505,-37.6149,99.7203,7
43,STARLINK-5704,satellite,0,89,43.006,271.3051,168.9909,47.5572,216.5481,6866.9426,490.5953,-3114.4773424516,5445.671934668258,-2788.4643930779566,6260.929440640959,395.0626228754007,-2788.4643930779566,-24.0976,3.6106,4
44,STARLINK-5701,satellite,0,89,42.9849,271.1281,100.8899,191.2205,292.1104,6865.0978,498.621,-4603.0358660830225,-2676.287619613189,-4338.403587191083,-373.1837632256243,5311.420571392014,-4338.403587191083,-39.348,94.019,4
45,STARLINK-5706,satellite,1,102,43.0015,271.0467,20.4403,298.4394,318.8797,6875.2326,500.5817,-3211.1412483774243,-5238.229409246112,-3083.328444933981,-3286.344648616239,5191.3788449152125,-3083.328444933981,-26.7923,122.3354,9
