u,v,distance_km,prop_delay_ms,delay_ms,kind,shell_id
0,199,180.7577618248655,0.6029429927315433,0.6029429927315433,inter_plane,0
0,200,3208.7433994226863,10.703215887514709,10.703215887514709,intra_plane,0
0,313,3480.7239814196,11.610445454967383,11.610445454967383,intra_plane,0
0,352,1931.3400414896787,6.442256934594662,6.442256934594662,inter_plane,0
1,53,1199.574932288608,4.00135126911234,4.00135126911234,inter_plane,0
1,54,3691.562521966602,12.313727125071981,12.313727125071981,intra_plane,0
1,243,2187.835023323768,7.297832099978206,7.297832099978206,inter_plane,0
1,259,1427.5634034047496,4.761838949946998,4.761838949946998,inter_plane,0
2,237,830.059041939031,2.7687789328543784,2.7687789328543784,inter_plane,0
2,328,283.13928951553146,0.9444510092229588,0.9444510092229588,inter_plane,0
3,64,4169.49093851633,13.907924723430936,13.907924723430936,inter_plane,0
3,166,1501.1720542084659,5.007370979987982,5.007370979987982,inter_plane,0
3,356,436.05985229216105,1.4545391008207453,1.4545391008207453,inter_plane,0
4,6,830.8281863372874,2.77134452240719,2.77134452240719,intra_plane,0
4,66,1125.3203040245828,3.753664490200694,3.753664490200694,inter_plane,0
4,165,708.5982620453805,2.363629381381504,2.363629381381504,inter_plane,0
4,360,1091.057897821461,3.6393774049561345,3.6393774049561345,inter_plane,0
5,6,2377.410359691647,7.930187355452575,7.930187355452575,intra_plane,0
5,161,1039.9660906843021,3.4689534807586857,3.4689534807586857,intra_plane,0
5,409,993.8636011117012,3.3151721285520175,3.3151721285520175,access,-1
6,66,361.3847738082117,1.2054498509372498,1.2054498509372498,inter_plane,0
6,165,707.7496622863731,2.360798757273517,2.360798757273517,inter_plane,0
7,38,3077.1956443807926,10.264419808655736,10.264419808655736,inter_plane,0
7,175,3593.12961613591,11.985390293360583,11.985390293360583,inter_plane,0
7,272,1694.8249276174504,5.653327434999884,5.653327434999884,intra_plane,0
8,37,2546.1998974465655,8.493208649853912,8.493208649853912,intra_plane,0
8,337,1396.0005968008886,4.656556759679687,4.656556759679687,inter_plane,0
8,338,2936.618202836982,9.795503937717413,9.795503937717413,inter_plane,0
8,340,4543.700443427734,15.156153272634144,15.156153272634144,inter_plane,0
9,38,2731.537614677364,9.111428729395737,9.111428729395737,inter_plane,0
9,39,1168.58873099184,3.8979924271204984,3.8979924271204984,inter_plane,0
9,43,514.3981218331076,1.715847440808893,1.715847440808893,inter_plane,0
10,41,1320.8375812856302,4.405839927052569,4.405839927052569,inter_plane,0
10,274,1099.0837700359075,3.666148832990013,3.666148832990013,intra_plane,0
11,344,2174.7781604558368,7.254279093491528,7.254279093491528,intra_plane,0
11,351,346.3561375048,1.1553197162311535,1.1553197162311535,intra_plane,0
12,281,3302.1412489553795,11.01475757924297,11.01475757924297,intra_plane,0
12,365,4570.648711684799,15.246043019817394,15.246043019817394,inter_plane,0
13,204,3643.030464731594,12.151841607474974,12.151841607474974,inter_plane,0
13,205,600.256572958656,2.0022404064569765,2.0022404064569765,inter_plane,0
13,245,3795.1876518541244,12.659383351979205,12.659383351979205,inter_plane,0
13,249,2358.670040261292,7.8676763785074675,7.8676763785074675,intra_plane,0
14,203,1081.3397263893955,3.6069610743489604,3.6069610743489604,inter_plane,0
14,206,1789.3363081885775,5.968583466461247,5.968583466461247,inter_plane,0
14,248,473.8065064144949,1.5804483861114842,1.5804483861114842,intra_plane,0
14,398,1358.9669421484973,4.53302578461963,4.53302578461963,inter_plane,0
15,36,3915.845313632314,13.061853989776868,13.061853989776868,inter_plane,0
15,56,1061.7610895030869,3.541653771367013,3.541653771367013,inter_plane,0
16,19,4573.410319167912,15.255254750831366,15.255254750831366,intra_plane,0
16,88,423.37236993746785,1.412218215100888,1.412218215100888,inter_plane,0
16,154,759.1222796160941,2.5321593634490105,2.5321593634490105,inter_plane,0
16,389,3733.4629649223025,12.45349195850118,12.45349195850118,inter_plane,0
17,85,507.61358501947683,1.6932166619731202,1.6932166619731202,inter_plane,0
17,389,1591.559976979721,5.308872636748323,5.308872636748323,inter_plane,0
18,117,1149.004489957885,3.8326664307141614,3.8326664307141614,inter_plane,0
18,318,648.9762827609596,2.164751865642196,2.164751865642196,intra_plane,0
18,320,1044.9160987526686,3.4854649303841683,3.4854649303841683,intra_plane,0
18,388,4356.975835596268,14.533307024008817,14.533307024008817,inter_plane,0
19,83,135.28534730918074,0.45126334468754625,0.45126334468754625,inter_plane,0
19,154,3904.095660342185,13.02266136509073,13.02266136509073,inter_plane,0
19,309,3614.97863953059,12.05827079055668,12.05827079055668,inter_plane,0
20,145,2426.045866012741,8.092417942057573,8.092417942057573,inter_plane,0
20,148,1332.4583454480153,4.444602623885939,4.444602623885939,intra_plane,0
20,228,1724.5444312066018,5.7524610282444195,5.7524610282444195,inter_plane,0
21,122,1900.4493107685273,6.339216548164555,6.339216548164555,inter_plane,0
21,157,3344.7213194135616,11.15678940600154,11.15678940600154,intra_plane,0
21,217,291.77917851643235,0.9732705767949384,0.9732705767949384,inter_plane,0
21,263,830.2664654546072,2.7694708232273384,2.7694708232273384,intra_plane,0
22,217,3736.0531945891566,12.462132034652976,12.462132034652976,inter_plane,0
22,227,338.1834672685599,1.1280586227041107,1.1280586227041107,inter_plane,0
22,324,2320.2913645371023,7.739658896079042,7.739658896079042,inter_plane,0
22,336,646.4480456107423,2.15631857426761,2.15631857426761,inter_plane,0
23,26,317.2108253902932,1.0581014195837215,1.0581014195837215,intra_plane,0
23,107,1696.1697222111832,5.657813186918743,5.657813186918743,inter_plane,0
23,133,3568.155147349822,11.902084432523724,11.902084432523724,intra_plane,0
23,352,1086.515969113689,3.62422716155751,3.62422716155751,inter_plane,0
23,406,526.2827584169936,1.755490321297521,1.755490321297521,access,-1
24,108,2544.107268264196,8.486228390255889,8.486228390255889,inter_plane,0
24,109,268.2116815434237,0.8946578687560703,0.8946578687560703,inter_plane,0
24,133,1446.4953287431663,4.824989055405678,4.824989055405678,intra_plane,0
24,253,2736.4001076511295,9.12764826008775,9.12764826008775,intra_plane,0
25,402,657.1086492765243,2.1918785204280367,2.1918785204280367,access,-1
26,107,1381.4829576922875,4.608131128142949,4.608131128142949,inter_plane,0
26,352,792.6465303974653,2.6439842272398506,2.6439842272398506,inter_plane,0
26,406,539.3780823549648,1.7991716201044818,1.7991716201044818,access,-1
27,104,4261.466214886893,14.214721221862403,14.214721221862403,inter_plane,0
27,115,3469.192768162229,11.571981467800065,11.571981467800065,inter_plane,0
27,134,990.7764621055701,3.304874541258707,3.304874541258707,inter_plane,0
27,291,1737.5920627473033,5.795983242337949,5.795983242337949,inter_plane,0
28,50,1041.0927260249757,3.4727115317389865,3.4727115317389865,inter_plane,0
29,30,1370.1195691783385,4.570226944062544,4.570226944062544,intra_plane,0
29,116,3179.469940960282,10.605570140661385,10.605570140661385,inter_plane,0
29,136,1388.953433570731,4.633049953413875,4.633049953413875,inter_plane,0
29,353,749.3610974381609,2.499599564436544,2.499599564436544,inter_plane,0
30,135,3946.6636518638174,13.16465290085389,13.16465290085389,inter_plane,0
30,137,230.80041131326274,0.7698673037106982,0.7698673037106982,inter_plane,0
30,353,624.392944832228,2.082750676910718,2.082750676910718,inter_plane,0
31,106,1377.062160526149,4.593384936075173,4.593384936075173,inter_plane,0
31,156,1468.0613519656354,4.896925565637931,4.896925565637931,inter_plane,0
31,227,2108.6635903016913,7.033744625762705,7.033744625762705,inter_plane,0
32,126,4037.8859540178014,13.468937747652749,13.468937747652749,inter_plane,0
32,280,318.62374933481556,1.0628144265551056,1.0628144265551056,intra_plane,0
32,362,2434.791436670943,8.121590025693518,8.121590025693518,inter_plane,0
32,366,1705.2967169311266,5.688257564275105,5.688257564275105,inter_plane,0
33,122,3961.877638468424,13.215401297615113,13.215401297615113,intra_plane,0
33,123,1874.8292248082582,6.253757140242195,6.253757140242195,intra_plane,0
33,383,371.69799940238545,1.2398510685761999,1.2398510685761999,inter_plane,0
34,149,3813.255770191494,12.719652107430582,12.719652107430582,inter_plane,0
34,378,2728.647626888087,9.101788767775094,9.101788767775094,inter_plane,0
34,382,3983.2030381862955,13.28653517423142,13.28653517423142,inter_plane,0
35,155,4909.142618838858,16.375137158516704,16.375137158516704,inter_plane,0
35,210,1177.6308175040297,3.9281535811819177,3.9281535811819177,inter_plane,0
35,384,1971.2581878622439,6.575409538362182,6.575409538362182,inter_plane,0
36,56,2891.4478305388134,9.644831794063391,9.644831794063391,inter_plane,0
36,83,1967.4578664930775,6.562733030772501,6.562733030772501,inter_plane,0
37,170,1374.0461234893921,4.583324519422674,4.583324519422674,inter_plane,0
37,338,709.6710334344526,2.3672077615590075,2.3672077615590075,inter_plane,0
37,340,2125.0015610074956,7.088242229921261,7.088242229921261,inter_plane,0
38,39,3437.0986784243532,11.464927107753837,11.464927107753837,intra_plane,0
38,363,3382.383162337302,11.282415791585066,11.282415791585066,inter_plane,0
39,173,2581.5523269327527,8.611131661400078,8.611131661400078,inter_plane,0
39,176,1015.4046591287861,3.3870253638228154,3.3870253638228154,inter_plane,0
40,95,2948.475267355956,9.83505484769719,9.83505484769719,intra_plane,0
40,165,2341.078293191451,7.808996626564405,7.808996626564405,inter_plane,0
40,331,2571.3769165539643,8.577190145837372,8.577190145837372,intra_plane,0
40,333,2266.190482803074,7.559197779428707,7.559197779428707,inter_plane,0
40,409,663.428820866241,2.212960343606246,2.212960343606246,access,-1
41,274,288.58739915320837,0.962623946841279,0.962623946841279,inter_plane,0
41,278,675.8908190189395,2.254529094987905,2.254529094987905,inter_plane,0
41,305,4373.350045814738,14.587925510169901,14.587925510169901,inter_plane,0
42,277,4751.854151556178,15.850479305774192,15.850479305774192,inter_plane,0
42,308,4384.674661345075,14.625700361498339,14.625700361498339,inter_plane,0
42,333,1357.1787004532202,4.527060852388823,4.527060852388823,inter_plane,0
42,409,874.6692247257888,2.917582485433269,2.917582485433269,access,-1
43,173,2960.771874749544,9.876071914889682,9.876071914889682,inter_plane,0
43,176,1367.6136520394186,4.56186810423169,4.56186810423169,inter_plane,0
44,48,3157.6122169373957,10.532660621293536,10.532660621293536,intra_plane,0
44,136,326.85597128464593,1.090274163216761,1.090274163216761,inter_plane,0
