u,v,distance_km,prop_delay_ms,delay_ms,kind,shell_id
0,200,3203.6217810878297,10.686132007656543,10.686132007656543,intra_plane,0
0,313,3487.3077603351167,11.632406577536774,11.632406577536774,intra_plane,0
0,352,1935.2907071467262,6.455434936747896,6.455434936747896,inter_plane,0
1,53,1241.6945635037875,4.141847235876053,4.141847235876053,inter_plane,0
1,54,3688.049178002544,12.30200787106707,12.30200787106707,intra_plane,0
1,259,1532.761503090336,5.112742039328875,5.112742039328875,inter_plane,0
1,354,2837.9052587145898,9.4662329988121,9.4662329988121,inter_plane,0
2,128,4134.929689975975,13.792640807448114,13.792640807448114,inter_plane,0
2,130,3374.554358359993,11.256301712433316,11.256301712433316,inter_plane,0
2,237,581.6607667869889,1.9402114738556528,1.9402114738556528,inter_plane,0
3,64,4172.789147365033,13.918926363934858,13.918926363934858,inter_plane,0
3,166,1558.7329642891327,5.199373508886381,5.199373508886381,inter_plane,0
4,6,811.7105146388103,2.707574833783211,2.707574833783211,intra_plane,0
4,66,1104.755788411604,3.685068649764378,3.685068649764378,inter_plane,0
4,247,3100.4610791393716,10.342024945602107,10.342024945602107,inter_plane,0
4,360,1041.2045223954692,3.4730844442906874,3.4730844442906874,inter_plane,0
5,6,2383.596212008239,7.950821137762709,7.950821137762709,intra_plane,0
5,161,1059.7292133822089,3.5348761621688594,3.5348761621688594,intra_plane,0
5,165,2773.8947711455694,9.252716995120569,9.252716995120569,inter_plane,0
6,66,302.580453631614,1.0092997524027572,1.0092997524027572,inter_plane,0
6,165,403.609285308755,1.3462956606758767,1.3462956606758767,inter_plane,0
7,38,3169.2450265710136,10.571463497494035,10.571463497494035,inter_plane,0
7,175,3604.361751472613,12.022856663967888,12.022856663967888,inter_plane,0
7,272,1693.953162563649,5.650419539785918,5.650419539785918,intra_plane,0
8,170,3791.6839070117894,12.647696117197818,12.647696117197818,inter_plane,0
8,337,1428.2079259766551,4.763988845832323,4.763988845832323,inter_plane,0
8,338,2921.4469068692697,9.744897941592878,9.744897941592878,inter_plane,0
8,340,4528.096779818635,15.10410505329869,15.10410505329869,inter_plane,0
9,39,1037.304809770859,3.4600764031590785,3.4600764031590785,inter_plane,0
9,43,480.95753249214033,1.6043016415447662,1.6043016415447662,inter_plane,0
10,41,1335.1308710773867,4.453517209820491,4.453517209820491,inter_plane,0
10,274,1105.0868693511004,3.6861730169045828,3.6861730169045828,intra_plane,0
11,344,2169.481486366584,7.236611290490116,7.236611290490116,intra_plane,0
11,351,350.1911348804145,1.168111890527995,1.168111890527995,intra_plane,0
12,281,3331.324641834023,11.11210289964674,11.11210289964674,intra_plane,0
12,365,4628.747328305813,15.439839144671923,15.439839144671923,inter_plane,0
13,204,3751.9311775672236,12.515095284909481,12.515095284909481,inter_plane,0
13,205,909.0507261677276,3.0322668296336115,3.0322668296336115,inter_plane,0
13,245,3794.5937428813077,12.657402284887727,12.657402284887727,inter_plane,0
13,249,2354.693734749987,7.854412851006369,7.854412851006369,intra_plane,0
14,143,3486.950620381337,11.631215286881357,11.631215286881357,inter_plane,0
14,203,906.6826099003229,3.0243676440330027,3.0243676440330027,inter_plane,0
14,248,473.2002360077975,1.57842608571493,1.57842608571493,intra_plane,0
14,398,1254.3204665337707,4.183962715078612,4.183962715078612,inter_plane,0
15,36,3934.083795278542,13.122691016057988,13.122691016057988,inter_plane,0
15,56,1088.576713291193,3.63110106422755,3.63110106422755,inter_plane,0
16,19,4578.115982325498,15.27095115356604,15.27095115356604,intra_plane,0
16,88,343.04920435781094,1.1442889746005918,1.1442889746005918,inter_plane,0
16,154,718.3758993649317,2.3962440688382216,2.3962440688382216,inter_plane,0
16,388,1353.8902774411329,4.516091853922266,4.516091853922266,inter_plane,0
17,85,472.944022670719,1.5775714500153268,1.5775714500153268,inter_plane,0
17,389,1518.538144675901,5.065298022526975,5.065298022526975,inter_plane,0
19,83,221.25080635599906,0.7380132503400038,0.7380132503400038,inter_plane,0
19,309,3630.1059244749226,12.108729981709288,12.108729981709288,inter_plane,0
19,388,3286.3261598916138,10.962004120502638,10.962004120502638,inter_plane,0
20,145,2432.9945609842616,8.115596293567403,8.115596293567403,inter_plane,0
20,148,1319.5627174423087,4.401587439008585,4.401587439008585,intra_plane,0
20,228,1735.4445186894952,5.78881980643254,5.78881980643254,inter_plane,0
20,229,4981.858402996508,16.61769090600841,16.61769090600841,inter_plane,0
21,122,2030.0781451248235,6.771611796601046,6.771611796601046,inter_plane,0
21,157,3347.56267091368,11.16626713442431,11.16626713442431,intra_plane,0
21,158,4073.3671822095334,13.587290385435692,13.587290385435692,inter_plane,0
21,263,831.4841295356525,2.7735325134018303,2.7735325134018303,intra_plane,0
22,31,2312.8629922856926,7.714880513390676,7.714880513390676,inter_plane,0
22,217,3753.91498230526,12.521712545234411,12.521712545234411,inter_plane,0
22,227,320.31127538374795,1.0684434075514602,1.0684434075514602,inter_plane,0
22,336,671.0346802267653,2.238330759564223,2.238330759564223,inter_plane,0
23,26,316.4824889794957,1.0556719508250463,1.0556719508250463,intra_plane,0
23,108,2496.9291761053973,8.328859214014642,8.328859214014642,inter_plane,0
23,109,4930.3808981626125,16.44598043277864,16.44598043277864,inter_plane,0
23,133,3563.3293283977155,11.885987233200229,11.885987233200229,intra_plane,0
24,133,1448.5879051018596,4.831969138802884,4.831969138802884,intra_plane,0
24,253,2729.078557243073,9.10322619671464,9.10322619671464,intra_plane,0
24,255,860.3385018311109,2.869780339274282,2.869780339274282,inter_plane,0
26,107,1390.2498755531549,4.637374418382317,4.637374418382317,inter_plane,0
26,352,788.1647326293839,2.629034559066139,2.629034559066139,inter_plane,0
27,104,4296.418161572151,14.331308366577224,14.331308366577224,inter_plane,0
27,115,3456.177247621509,11.528566364473082,11.528566364473082,inter_plane,0
27,134,992.0057508237903,3.308975007049011,3.308975007049011,inter_plane,0
27,291,1848.370556940494,6.165500524167603,6.165500524167603,inter_plane,0
28,50,967.9009856663699,3.2285701652520222,3.2285701652520222,inter_plane,0
28,404,995.0838400134136,3.31924240740377,3.31924240740377,access,-1
29,116,3231.3635888238346,10.778668717622757,10.778668717622757,inter_plane,0
29,136,1433.3722562529604,4.781215197391525,4.781215197391525,inter_plane,0
29,137,1132.510269194106,3.777647632463476,3.777647632463476,inter_plane,0
29,353,777.2605405604456,2.5926620894527166,2.5926620894527166,inter_plane,0
31,106,1353.0589739612635,4.513318923991289,4.513318923991289,inter_plane,0
31,226,3612.560887346906,12.05020603736104,12.05020603736104,inter_plane,0
32,177,2242.8169594573574,7.481232097764639,7.481232097764639,inter_plane,0
32,280,313.4568110356924,1.0455793755681886,1.0455793755681886,intra_plane,0
32,362,2409.8090852645346,8.03825787126551,8.03825787126551,inter_plane,0
32,366,1675.614443680714,5.589248158073123,5.589248158073123,inter_plane,0
32,402,894.2913488220776,2.983034846133713,2.983034846133713,access,-1
33,122,3969.5209719264167,13.240896713707244,13.240896713707244,intra_plane,0
33,123,1871.3359358505552,6.242104782537776,6.242104782537776,intra_plane,0
33,383,900.7644387888504,3.0046267501127413,3.0046267501127413,inter_plane,0
34,149,3759.207769432899,12.539367382727484,12.539367382727484,inter_plane,0
35,155,4988.05552712832,16.638362287046995,16.638362287046995,inter_plane,0
35,210,1349.2310349417644,4.5005502938361595,4.5005502938361595,inter_plane,0
35,384,2089.4904124458185,6.969789788527031,6.969789788527031,inter_plane,0
36,56,2955.934669589229,9.859936735263798,9.859936735263798,inter_plane,0
