epoch_step,epoch_utc,strategy,K,tiers,tier_sizes,tier_altitudes_km,priority_vector,theta_r_rad,theta_s_rad,theta_m_input_rad,theta_m_observed_rad,theta_m_used_rad,d_th_km,P_S,v_stationary,mu_1,theta_o_rad,N_h,bpp_predicted_interruption_probability,empirical_interruption_probability,absolute_error,relative_error,pairs_total,pairs_decided,pairs_success,pairs_interrupted,mean_success_hops,mean_interrupted_hop
0,2026-03-21T19:24:37.899Z,density,2,gateway;sat_shell_0,10;400,0.00;487.93,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690678;0.131632,0.001407;0.998593,3.337773279596282,0.4998401898281004,4,0.7672912591043713,0.8918918918918919,0.12460063278752054,0.1397037397920685,37,37,4,33,3.75,1.7272727272727273
0,2026-03-21T19:24:37.899Z,single_hop,2,gateway;sat_shell_0,10;400,0.00;487.93,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690678;0.131632,0.001407;0.998593,3.337773279596282,0.4998401898281004,4,0.7672912591043713,0.8918918918918919,0.12460063278752054,0.1397037397920685,37,37,4,33,3.75,1.7272727272727273
0,2026-03-21T19:24:37.899Z,stationary_optimal,2,gateway;sat_shell_0,10;400,0.00;487.93,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690678;0.131632,0.001407;0.998593,3.337773279596282,0.4998401898281004,4,0.7672912591043713,0.8918918918918919,0.12460063278752054,0.1397037397920685,37,37,4,33,3.75,1.7272727272727273
1,2026-03-21T19:33:37.899Z,density,2,gateway;sat_shell_0,10;400,0.00;487.91,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690712;0.131629,0.00140678;0.998593,3.3375575333224754,0.4998425705562782,4,0.7673154625135223,0.8918918918918919,0.12457642937836955,0.13967660263635373,37,37,4,33,3.5,1.9090909090909092
1,2026-03-21T19:33:37.899Z,single_hop,2,gateway;sat_shell_0,10;400,0.00;487.91,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690712;0.131629,0.00140678;0.998593,3.3375575333224754,0.4998425705562782,4,0.7673154625135223,0.8918918918918919,0.12457642937836955,0.13967660263635373,37,37,4,33,3.5,1.9090909090909092
1,2026-03-21T19:33:37.899Z,stationary_optimal,2,gateway;sat_shell_0,10;400,0.00;487.91,"2,1",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690712;0.131629,0.00140678;0.998593,3.3375575333224754,0.4998425705562782,4,0.7673154625135223,0.8918918918918919,0.12457642937836955,0.13967660263635373,37,37,4,33,3.5,1.9090909090909092
2,2026-03-21T19:42:37.899Z,density,3,gateway;sat_shell_0;sat_shell_1,10;398;2,0.00;487.76;507.14,"3,1,2",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690793;0.13162;0.132539,0.00140566;0.997042;0.00155261,3.3370921739722954,0.4985876132570998,4,0.7673724705982066,0.9459459459459459,0.17857347534773937,0.18877767393903877,37,37,2,35,3.5,2.1142857142857143
2,2026-03-21T19:42:37.899Z,single_hop,3,gateway;sat_shell_0;sat_shell_1,10;398;2,0.00;487.76;507.14,"3,1,2",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690793;0.13162;0.132539,0.00140566;0.997042;0.00155261,3.3370921739722954,0.4985876132570998,4,0.7673724705982066,0.9459459459459459,0.17857347534773937,0.18877767393903877,37,37,2,35,3.5,2.1142857142857143
2,2026-03-21T19:42:37.899Z,stationary_optimal,3,gateway;sat_shell_0;sat_shell_1,10;398;2,0.00;487.76;507.14,"3,1,2",0.5235987755982988,0.3141592653589793,3.141592653589793,1.8067336585720895,1.8067336585720895,4000.0,0.690793;0.13162;0.132539,0.00140566;0.997042;0.00155261,3.3370921739722954,0.4985876132570998,4,0.7673724705982066,0.9459459459459459,0.17857347534773937,0.18877767393903877,37,37,2,35,3.5,2.1142857142857143
