id,name,kind,shell_id,plane_id,inclination_deg,raan_deg,argp_deg,true_anomaly_deg,arg_of_lat_deg,semi_major_axis_km,altitude_km,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km,lat_deg,lon_deg,degree
0,STARLINK-5407,satellite,0,54,43.0004,52.4884,63.6434,250.9,314.5433,6865.6172,493.0065,5771.5981913038,1641.066692104579,-3337.441799735835,-951.2918657028299,-5924.482201512972,-3337.441799735835,-29.235,-99.1221,3
1,STARLINK-5406,satellite,0,54,43.0187,52.8528,136.7668,29.5835,166.3503,6872.756,488.0968,-4973.054094189043,-4602.656121631002,1105.3557568123172,-2070.350627986932,6452.081731884048,1105.3557568123172,9.3217,107.7905,4
2,STARLINK-5547,satellite,0,72,42.9803,231.3019,83.1719,179.7253,262.8972,6861.2491,497.7863,-3359.4503802552863,3779.0618754482666,-4645.02722533348,4844.616688132779,1448.069287337225,-4645.02722533348,-42.7498,16.6416,3
3,STARLINK-5704,satellite,0,69,43.016,271.3132,166.9331,31.9314,198.8645,6869.1859,487.35,-1771.2451013515117,6456.828038907063,-1514.1423976266142,6600.543901385646,-1122.8346890610926,-1514.1423976266142,-12.8201,-9.6543,2
4,STARLINK-5701,satellite,0,69,42.9794,271.1622,90.1302,184.3001,274.4303,6863.9034,500.1116,-4998.065194917066,-632.0593880286867,-4668.405203376504,1538.9641368630448,4797.055779130148,-4668.405203376504,-42.998,72.213,4
5,STARLINK-5706,satellite,0,69,42.9896,271.0678,101.7409,199.4883,301.2293,6872.5799,503.9028,-4232.891169303881,-3643.8254852240584,-4008.407267629923,-1514.0560914034763,5376.1013727443005,-4008.407267629923,-35.8353,105.7287,3
6,STARLINK-5141,satellite,0,69,42.9848,271.1274,96.8478,184.3775,281.2253,6874.3704,510.2279,-4908.497203114595,-1435.9293258567243,-4600.2534794363,772.532200641662,5055.534771002065,-4600.2534794363,-42.1487,81.3119,4
7,STARLINK-5754,satellite,0,33,43.0268,296.6472,146.2855,32.9739,179.2594,6867.6729,482.9148,-3018.947829103013,6160.8685160025525,60.51436910732677,6859.492613277938,133.0712392017391,60.51436910732677,0.5085,1.1114,3
8,STARLINK-5757,satellite,0,69,43.0111,271.0269,70.8777,323.9808,34.8586,6867.3223,485.8223,2967.7366121539003,-5577.35692234283,2674.8421297547884,-6308.989140811617,-333.2069318685917,2674.8421297547884,23.0756,-176.9768,4
9,STARLINK-5767,satellite,0,33,43.0048,296.568,123.0783,103.9395,227.0178,6871.6089,499.1779,-5383.689057722984,2546.0628029161458,-3428.9155341225496,4582.389876126693,3803.714853904142,-3428.9155341225496,-30.0865,39.6951,2
