source,destination,success,hops,reason,delay_ms,path
944,1065,True,7,reached destination,53.614018446990464,944 -> 397 -> 918 -> 344 -> 47 -> 49 -> 48 -> 1065
1089,917,True,2,reached destination,6.005022329867735,1089 -> 343 -> 917
938,868,True,5,reached destination,24.209223952166433,938 -> 663 -> 1068 -> 546 -> 569 -> 868
999,884,True,2,reached destination,7.765650723265136,999 -> 613 -> 884
935,1070,True,2,reached destination,6.525324260986842,935 -> 402 -> 1070
952,918,True,7,reached destination,45.33380830360406,952 -> 684 -> 685 -> 575 -> 851 -> 852 -> 493 -> 918
1036,901,False,0,no graph path,inf,1036
906,939,True,2,reached destination,4.885453109538226,906 -> 586 -> 939
1004,1009,True,9,reached destination,56.08197533353196,1004 -> 309 -> 312 -> 343 -> 922 -> 809 -> 810 -> 667 -> 518 -> 1009
1050,1052,True,2,reached destination,11.905145757455578,1050 -> 501 -> 1052
1070,975,True,2,reached destination,3.6302584161799025,1070 -> 635 -> 975
939,934,True,2,reached destination,5.528166338810086,939 -> 789 -> 934
884,1068,True,2,reached destination,11.206246224315844,884 -> 809 -> 1068
937,1095,True,3,reached destination,14.90363735226208,937 -> 307 -> 417 -> 1095
1084,950,True,7,reached destination,57.31099184874545,1084 -> 311 -> 48 -> 49 -> 47 -> 1089 -> 732 -> 950
955,965,True,2,reached destination,11.826428508947693,955 -> 113 -> 965
941,933,True,2,reached destination,7.410394527003444,941 -> 446 -> 933
1020,901,True,7,reached destination,30.356424230312946,1020 -> 135 -> 891 -> 625 -> 618 -> 1006 -> 335 -> 901
973,936,True,5,reached destination,32.01018584939,973 -> 310 -> 7 -> 281 -> 45 -> 936
887,939,True,2,reached destination,10.59216546737838,887 -> 397 -> 939
1054,942,True,6,reached destination,30.111358084125932,1054 -> 259 -> 377 -> 100 -> 103 -> 368 -> 942
1004,898,True,3,reached destination,19.5874831560757,1004 -> 309 -> 344 -> 898
936,991,True,2,reached destination,5.535333721273586,936 -> 402 -> 991
1075,1044,True,2,reached destination,5.2775164804672565,1075 -> 586 -> 1044
866,962,True,3,reached destination,14.043190747597897,866 -> 397 -> 192 -> 962
989,908,True,2,reached destination,3.974396511885415,989 -> 586 -> 908
1104,1039,True,8,reached destination,39.65287778103047,1104 -> 761 -> 1018 -> 548 -> 618 -> 625 -> 891 -> 621 -> 1039
1017,1099,True,2,reached destination,4.290874789481828,1017 -> 782 -> 1099
969,1098,True,5,reached destination,32.71935899408609,969 -> 449 -> 791 -> 1076 -> 92 -> 1098
893,1063,True,2,reached destination,6.89494164765812,893 -> 402 -> 1063
1092,867,True,7,reached destination,44.6936610736078,1092 -> 174 -> 118 -> 127 -> 331 -> 54 -> 128 -> 867
1065,1010,True,5,reached destination,43.03963109798415,1065 -> 121 -> 392 -> 148 -> 122 -> 1010
915,1033,True,6,reached destination,36.12211821895504,915 -> 176 -> 996 -> 369 -> 265 -> 102 -> 1033
1004,908,True,5,reached destination,26.204056982257114,1004 -> 309 -> 312 -> 959 -> 176 -> 908
1059,1053,True,8,reached destination,35.733322322625284,1059 -> 558 -> 760 -> 499 -> 988 -> 804 -> 1082 -> 505 -> 1053
1029,943,True,2,reached destination,3.755272564051308,1029 -> 179 -> 943
1065,877,True,6,reached destination,49.50020705607157,1065 -> 48 -> 49 -> 47 -> 959 -> 37 -> 877
969,955,True,3,reached destination,17.603991734808734,969 -> 309 -> 344 -> 955
1040,1066,True,2,reached destination,6.660356373830989,1040 -> 147 -> 1066
1076,982,True,7,reached destination,49.01410743502507,1076 -> 791 -> 449 -> 790 -> 530 -> 529 -> 501 -> 982
954,1074,True,8,reached destination,51.01408751424422,954 -> 309 -> 312 -> 959 -> 176 -> 996 -> 561 -> 735 -> 1074
868,1039,True,7,reached destination,49.235872113664584,868 -> 485 -> 719 -> 484 -> 985 -> 679 -> 552 -> 1039
994,957,True,2,reached destination,8.208169450786821,994 -> 113 -> 957
1093,908,True,4,reached destination,24.80523555570783,1093 -> 317 -> 316 -> 319 -> 908
951,977,True,2,reached destination,5.906312919358584,951 -> 140 -> 977
998,1045,True,2,reached destination,9.647206671399264,998 -> 500 -> 1045
1012,972,True,2,reached destination,4.274713530711233,1012 -> 140 -> 972
1077,876,True,4,reached destination,14.113756324926143,1077 -> 388 -> 871 -> 356 -> 876
949,1008,True,2,reached destination,6.4307393058916436,949 -> 140 -> 1008
1092,945,True,3,reached destination,26.387184353214295,1092 -> 100 -> 102 -> 945
1050,920,True,2,reached destination,11.454972936240594,1050 -> 501 -> 920
913,1012,True,9,reached destination,48.64635889155229,913 -> 684 -> 685 -> 737 -> 738 -> 739 -> 740 -> 1087 -> 356 -> 1012
1016,896,True,5,reached destination,19.126150085135478,1016 -> 560 -> 830 -> 783 -> 788 -> 896
891,1020,True,2,reached destination,4.210397916571288,891 -> 135 -> 1020
1053,882,True,2,reached destination,7.679906648017401,1053 -> 402 -> 882
1043,1001,True,8,reached destination,39.54381788773404,1043 -> 13 -> 985 -> 484 -> 719 -> 651 -> 974 -> 59 -> 1001
989,1062,True,2,reached destination,4.028959985580458,989 -> 761 -> 1062
900,882,True,2,reached destination,4.65269494196693,900 -> 190 -> 882
1016,879,True,10,reached destination,52.08413842730917,1016 -> 541 -> 658 -> 861 -> 320 -> 1030 -> 261 -> 226 -> 1083 -> 311 -> 879
981,1090,True,7,reached destination,32.55334958698276,981 -> 789 -> 1060 -> 804 -> 988 -> 499 -> 661 -> 1090
1103,894,True,5,reached destination,34.9435797867543,1103 -> 113 -> 1032 -> 544 -> 735 -> 894
1054,902,True,4,reached destination,26.32083102627969,1054 -> 728 -> 820 -> 659 -> 902
1051,1049,True,2,reached destination,6.286011045414192,1051 -> 344 -> 1049
994,997,True,8,reached destination,58.55819180934694,994 -> 174 -> 118 -> 127 -> 331 -> 85 -> 354 -> 82 -> 997
943,1085,True,2,reached destination,4.120268073580346,943 -> 586 -> 1085
1080,975,True,2,reached destination,7.882952972534372,1080 -> 669 -> 975
983,1032,True,3,reached destination,13.28502988560589,983 -> 176 -> 113 -> 1032
1070,936,True,2,reached destination,4.687004798531989,1070 -> 669 -> 936
1097,1059,True,5,reached destination,41.43085407424822,1097 -> 21 -> 419 -> 132 -> 271 -> 1059
1102,941,True,5,reached destination,29.131482256736092,1102 -> 501 -> 991 -> 809 -> 810 -> 941
938,1063,True,2,reached destination,8.826724728821297,938 -> 782 -> 1063
979,1074,True,4,reached destination,26.08864671521696,979 -> 789 -> 784 -> 735 -> 1074
1014,875,True,2,reached destination,5.743478685218438,1014 -> 586 -> 875
