source,destination,success,hops,reason,delay_ms,path
4277,4238,True,2,reached destination,5.5961805189917335,4277 -> 2335 -> 4238
4308,4243,True,2,reached destination,5.451223523618893,4308 -> 2639 -> 4243
4329,4256,False,0,no graph path,inf,4329
4188,4318,True,2,reached destination,6.0407676053877895,4188 -> 961 -> 4318
4130,4157,True,2,reached destination,5.530989546769616,4130 -> 1170 -> 4157
4117,4265,True,16,reached destination,53.26463341352457,4117 -> 1168 -> 4303 -> 681 -> 689 -> 690 -> 2266 -> 687 -> 696 -> 2243 -> 530 -> 685 -> 2252 -> 2245 -> 683 -> 2240 -> 4265
4189,4322,True,5,reached destination,17.636076294725484,4189 -> 1195 -> 56 -> 1189 -> 58 -> 4322
4291,4191,False,0,no graph path,inf,4291
4106,4222,True,2,reached destination,10.223278659238336,4106 -> 1761 -> 4222
4098,4271,True,2,reached destination,4.014487356622039,4098 -> 1151 -> 4271
4323,4223,True,2,reached destination,6.425451909508357,4323 -> 2308 -> 4223
4277,4261,True,14,reached destination,49.67628099301448,4277 -> 1961 -> 1941 -> 1949 -> 1948 -> 714 -> 1278 -> 709 -> 1958 -> 1959 -> 1944 -> 717 -> 1280 -> 1943 -> 4261
4211,4159,True,2,reached destination,6.326112677453681,4211 -> 2324 -> 4159
4164,4285,True,9,reached destination,53.26291859648032,4164 -> 1761 -> 4225 -> 56 -> 1195 -> 1187 -> 1905 -> 1893 -> 1899 -> 4285
4309,4137,True,2,reached destination,5.87596261907664,4309 -> 2242 -> 4137
4158,4088,True,4,reached destination,23.711501058126856,4158 -> 2309 -> 4288 -> 3092 -> 4088
4219,4104,True,2,reached destination,7.822005366370406,4219 -> 1770 -> 4104
4155,4290,True,2,reached destination,6.49345549942654,4155 -> 59 -> 4290
4172,4138,True,7,reached destination,46.05232136693732,4172 -> 3442 -> 4066 -> 3078 -> 3097 -> 3088 -> 3093 -> 4138
4256,4121,False,0,no graph path,inf,4256
4126,4159,True,2,reached destination,4.539721586044516,4126 -> 1412 -> 4159
4224,4229,True,11,reached destination,53.81747547641571,4224 -> 1019 -> 1022 -> 2571 -> 4241 -> 3374 -> 3384 -> 2801 -> 2786 -> 2807 -> 2789 -> 4229
4270,4272,True,2,reached destination,12.080646874709046,4270 -> 3938 -> 4272
4290,4195,True,2,reached destination,3.7977293755745603,4290 -> 4033 -> 4195
4159,4154,True,2,reached destination,4.7738454945993265,4159 -> 1273 -> 4154
4104,4288,True,2,reached destination,11.373451340833636,4104 -> 2952 -> 4288
4157,4315,True,3,reached destination,14.717961657603777,4157 -> 1770 -> 2430 -> 4315
4304,4170,True,11,reached destination,56.99854826720956,4304 -> 1904 -> 1916 -> 1899 -> 1893 -> 1905 -> 1187 -> 1195 -> 56 -> 4275 -> 2308 -> 4170
4175,4185,True,2,reached destination,11.61820597468284,4175 -> 1216 -> 4185
4161,4153,True,2,reached destination,7.51967295162418,4161 -> 842 -> 4153
4240,4121,True,6,reached destination,28.723750701084477,4240 -> 1607 -> 1681 -> 2297 -> 4226 -> 2013 -> 4121
4193,4156,True,11,reached destination,32.24245503465227,4193 -> 1914 -> 1910 -> 1201 -> 1188 -> 1193 -> 64 -> 1900 -> 1898 -> 66 -> 2101 -> 4156
4107,4159,True,2,reached destination,10.402683290611114,4107 -> 1890 -> 4159
4274,4162,True,7,reached destination,29.56156203206259,4274 -> 3649 -> 3167 -> 3173 -> 3101 -> 4226 -> 199 -> 4162
4224,4118,True,6,reached destination,19.543030018992884,4224 -> 1195 -> 56 -> 1189 -> 58 -> 1892 -> 4118
4156,4211,True,2,reached destination,5.511978353963177,4156 -> 2090 -> 4211
4295,4264,True,2,reached destination,5.331934931966847,4295 -> 514 -> 4264
4086,4182,True,3,reached destination,13.515177326368043,4086 -> 41 -> 2386 -> 4182
4209,4128,True,2,reached destination,3.551737986643868,4209 -> 1865 -> 4128
4324,4259,True,8,reached destination,37.9818318871051,4324 -> 1145 -> 4326 -> 3867 -> 3350 -> 3801 -> 4111 -> 2488 -> 4259
4237,4319,True,2,reached destination,4.4743630771310645,4237 -> 510 -> 4319
4189,4318,True,6,reached destination,28.57853411207033,4189 -> 1187 -> 1905 -> 1893 -> 1899 -> 1916 -> 4318
4113,4283,True,2,reached destination,6.837858288489938,4113 -> 2090 -> 4283
4312,4087,True,5,reached destination,43.30708266049782,4312 -> 807 -> 1270 -> 763 -> 547 -> 4087
4285,4230,True,13,reached destination,42.645109509703616,4285 -> 1821 -> 389 -> 962 -> 190 -> 775 -> 772 -> 1808 -> 776 -> 771 -> 227 -> 367 -> 975 -> 4230
4135,4253,True,5,reached destination,35.30574533531312,4135 -> 3791 -> 3795 -> 3867 -> 3792 -> 4253
4224,4128,True,5,reached destination,26.420443490064965,4224 -> 1195 -> 56 -> 4207 -> 935 -> 4128
4279,4273,True,9,reached destination,33.751496621519024,4279 -> 2649 -> 1565 -> 4208 -> 3478 -> 3100 -> 3501 -> 3121 -> 3515 -> 4273
4249,4163,True,2,reached destination,3.660645984641185,4249 -> 43 -> 4163
4285,4097,True,11,reached destination,48.856962737715335,4285 -> 1916 -> 4296 -> 2420 -> 2425 -> 2433 -> 921 -> 2428 -> 2437 -> 2416 -> 554 -> 4097
4189,4175,True,3,reached destination,17.142824419618954,4189 -> 2095 -> 2241 -> 4175
4260,4286,True,2,reached destination,6.596188975946379,4260 -> 1181 -> 4286
4296,4202,True,6,reached destination,47.85482935878467,4296 -> 322 -> 1633 -> 319 -> 4147 -> 1903 -> 4202
