source,destination,success,hops,reason,delay_ms,path
185,147,True,2,reached destination,26.046480845148473,185 -> 505 -> 147
58,241,False,0,no constrained graph path,inf,58
95,114,True,5,reached destination,43.09004787068705,95 -> 359 -> 1 -> 466 -> 630 -> 114
96,192,True,5,reached destination,50.96875308548176,96 -> 852 -> 137 -> 1015 -> 359 -> 192
261,156,True,5,reached destination,51.32088985473597,261 -> 399 -> 97 -> 794 -> 714 -> 156
141,130,True,5,reached destination,44.689477470069704,141 -> 333 -> 295 -> 968 -> 916 -> 130
156,254,True,4,reached destination,29.550739004480192,156 -> 311 -> 152 -> 1081 -> 254
31,109,True,6,reached destination,55.17537007503383,31 -> 365 -> 210 -> 882 -> 439 -> 379 -> 109
15,281,True,5,reached destination,53.041121359716676,15 -> 624 -> 390 -> 417 -> 403 -> 281
20,73,True,5,reached destination,45.66446551523863,20 -> 553 -> 431 -> 421 -> 435 -> 73
115,271,True,2,reached destination,15.65431575294799,115 -> 640 -> 271
51,55,True,3,reached destination,33.41496760189614,51 -> 390 -> 734 -> 55
287,225,True,3,reached destination,35.944032338507235,287 -> 737 -> 836 -> 225
275,21,True,8,reached destination,54.928930710825185,275 -> 353 -> 147 -> 391 -> 199 -> 378 -> 280 -> 369 -> 21
235,2,False,0,no constrained graph path,inf,235
145,36,True,6,reached destination,59.99722509187925,145 -> 966 -> 255 -> 369 -> 403 -> 308 -> 36
120,181,True,2,reached destination,13.69176074106991,120 -> 404 -> 181
138,241,False,0,no constrained graph path,inf,138
265,0,True,5,reached destination,54.164223302241105,265 -> 777 -> 71 -> 905 -> 401 -> 0
296,212,True,6,reached destination,60.187915812647546,296 -> 622 -> 299 -> 725 -> 317 -> 359 -> 212
188,153,True,8,reached destination,65.59878740423466,188 -> 343 -> 40 -> 407 -> 56 -> 389 -> 187 -> 920 -> 153
29,182,True,3,reached destination,29.5989685360528,29 -> 439 -> 798 -> 182
243,65,False,0,no constrained graph path,inf,243
231,51,False,0,no constrained graph path,inf,231
4,147,True,7,reached destination,66.15362325880595,4 -> 401 -> 220 -> 1052 -> 49 -> 377 -> 323 -> 147
102,104,True,3,reached destination,35.524169908236345,102 -> 1122 -> 771 -> 104
172,26,False,0,no constrained graph path,inf,172
289,39,True,7,reached destination,61.02449291032987,289 -> 371 -> 211 -> 429 -> 112 -> 358 -> 1129 -> 39
78,297,False,0,no constrained graph path,inf,78
51,12,True,3,reached destination,26.254302133375933,51 -> 390 -> 326 -> 12
173,236,True,3,reached destination,34.14325778406156,173 -> 608 -> 407 -> 236
19,158,False,0,no constrained graph path,inf,19
280,264,True,3,reached destination,33.95969257424479,280 -> 984 -> 1129 -> 264
