name,lat,lon,alt_km,status
Gordon - GA,32.8411,-83.2538,0.0,operational
Grant District - WV,38.978,-79.1466,0.0,operational
Greenville - PA,41.4028,-80.3812,0.0,operational
Guarapari - Brazil,-20.6614,-40.4981,0.0,operational
Hamshire - TX,29.8622,-94.6749,0.0,operational
Hawkins - TX,32.6136,-95.2998,0.0,operational
Hawthorne - CA,33.9207,-118.328,0.0,operational
Highlands Ranch - CO,39.55,-105.0333,0.0,operational
Hillman - MI,45.0586,-83.9022,0.0,operational
Hillsboro - TX,32.011,-97.13,0.0,operational
Hinds - NZ,-43.8667,171.5833,0.0,operational
Hitterdal - MN,46.9769,-96.2595,0.0,operational
Honolulu - HI,21.315,-157.8664,0.0,operational
Hoo - UK,51.42,0.56,0.0,planned
Howell - UT,41.8366,-112.4352,0.0,operational
Ibi - Spain,38.6264,-0.5726,0.0,operational
Inman - KS,38.2319,-97.7725,0.0,operational
Iron Mountain - CO,39.7775,-104.9685,0.0,operational
Irvine - CA,33.6872,-117.8479,0.0,operational
Isle of Man - UK,54.13909,-4.49728,0.0,operational
Itaboraí - Brazil,-22.7446,-42.8586,0.0,operational
João Câmara - Brazil,-5.5372,-35.8139,0.0,planned
Kalama - WA,46.01,-122.84,0.0,operational
Kaua'i - HI,21.9994,-159.378,0.0,operational
Kaunas - Lithuania,54.8985,23.9036,0.0,operational
Kenansville - FL,27.8847,-81.0962,0.0,operational
Kent - WA,47.4211,-122.2481,0.0,operational
Ketchikan - AK,55.342,-131.636,0.0,operational
Ki Ki - Australia,-35.8,139.7167,0.0,operational
Kihei - HI,20.746,-156.432,0.0,operational
Kiowa - CO,39.292,-104.5052,0.0,operational
Kuparuk - AK,70.3316,-149.5947,0.0,operational
Lawrence - KS,38.9717,-95.2353,0.0,operational
Lekki,6.4711,3.8148,0.0,operational
Lepe - Spain,37.2547,-7.2044,0.0,operational
Limestone - ME,46.9149,-67.9195,0.0,operational
Lindon - UT,40.3327,-111.7312,0.0,operational
Lisle - IL,41.8006,-88.0961,0.0,operational
Litchfield - MN,45.12,-94.53,0.0,operational
Lithia Springs - GA,33.7459,-84.5795,0.0,operational
Llano Grande - Mexico,19.34,-97.008,0.0,operational
Lockport - NY,43.1709,-78.6903,0.0,operational
Loring - ME,46.95,-67.89,0.0,operational
Los Angeles - CA,34.0581,-118.2354,0.0,operational
Lunenburg - VT,44.412,-71.7318,0.0,operational
Luz - Brazil,-19.79,-44.7325,0.0,operational
Lynnwood - WA,47.8417,-122.3009,0.0,operational
Madera - CA,36.8588,-119.9105,0.0,operational
Manaus - Brazil,-3.119,-60.0217,0.0,operational
Mandale - NC,35.895778,-79.226722,0.0,operational
Manistique - MI,45.9575,-86.2464,0.0,operational
Marathon - ON,48.754,-86.379,0.0,operational
Marcell - MN,47.593,-93.6941,0.0,operational
Marsala - Italy,37.7986,12.4357,0.0,operational
Marshall - TX,32.5449,-94.3674,0.0,planned
Mazahua - Mexico,19.65,-100.05,0.0,operational
McGregor - TX,31.44,-97.41,0.0,operational
Merida - Mexico,20.9674,-89.5926,0.0,operational
Merredin - Australia,-31.4833,118.2833,0.0,operational
Merrillan - WI,44.45,-90.8333,0.0,operational
Mesa - AZ,33.4212,-111.8592,0.0,operational
Miami - FL,25.7915,-80.3797,0.0,operational
Milano - Italy,45.4642,9.19,0.0,operational
Milwaukee - WI,43.1512,-88.0088,0.0,operational
Minneapolis - MN,44.9709,-93.2544,0.0,operational
Molokai - HI,21.1333,-157.0167,0.0,operational
Monterey,36.2231,-121.3877,0.0,operational
Montes Carlos,9.2895,-75.3994,0.0,operational
Morn Hill - UK,51.0894,-1.2833,0.0,planned
Mossoró - Brazil,-5.1878,-37.3441,0.0,operational
Mt. Ayr - IN,39.975,-87.3036,0.0,operational
Muallim - Turkey,40.0333,30.05,0.0,operational
Murayjat - Oman,23.588,58.545,0.0,operational
Murrieta - CA,33.5539,-117.2139,0.0,planned
Myrtle Beach - SC,33.71,-78.8958,0.0,operational
Nemaha - NE,40.3408,-95.6708,0.0,operational
New Braunfels - TX,29.703,-98.1245,0.0,operational
New York - NY,40.7178,-74.0083,0.0,operational
Niland - CA,33.2205,-115.4668,0.0,operational
Nome - AK,64.5011,-165.4064,0.0,operational
Norcross - GA,33.941,-84.2135,0.0,operational
North Bend - WA,47.4957,-121.7868,0.0,planned
North Kansas City - MO,39.1372,-94.5778,0.0,planned
